name,address,website,phone_number,amount_of_reviews,rating
,,,,,
,,,,357.0,
Pierre Torset Photography,"78 Av. Raymond Poincaré, 75116 Paris, Франція",kissinparis.com,+33 6 61 35 15 11,561.0,5.0
Kiss Me In Paris Photographer,"23 Rue de Bellefond, 75009 Paris, Франція",timelessparis.net,+33 6 28 23 79 53,127.0,5.0
Timeless Paris,"23 Rue de Bellefond, 75009 Paris, Франція",photographers-paris.com,+33 7 67 61 41 63,244.0,5.0
Finzi Paris Photographer,"4 Rue Sainte-Opportune, 75001 Paris, Франція",theparisianphotographers.com,+33 7 88 99 18 55,977.0,5.0
The Parisian Photographers,,paris-for-two.com,+33 7 85 18 45 65,252.0,5.0
Paris for Two Photography,"10 Rue de la Paix, 75002 Paris, Франція",throughtheglass.photo,,126.0,5.0
